Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.798417,-0.009446,0.000355,-0.014050,0.096090,0.134075,0.914585,9.945514,-0.017028,0.011706,-0.001064,-11.074219,18.165820,44.689453
0.898852,-0.062004,0.001111,-0.022955,0.089721,0.225055,0.866701,9.945514,-0.015963,0.012771,-0.002128,-11.425781,16.754883,46.048828
0.999003,-0.305100,-0.000249,-0.010795,0.092249,0.186748,0.914585,9.883264,-0.019156,0.013835,-0.002128,-11.425781,16.754883,46.048828
1.099269,-0.250316,0.002306,-0.038479,0.086915,0.215478,0.924162,9.864111,-0.015963,0.013835,-0.002128,-11.425781,16.754883,46.048828
1.200125,-0.238930,0.001570,-0.028684,0.086448,0.191536,0.919373,9.849746,-0.018092,0.009578,-0.001064,-12.656250,17.989453,44.859375
1.301464,-0.447577,0.001016,-0.024238,0.078188,0.282516,0.833182,9.873688,-0.020220,0.009578,-0.003193,-12.480469,18.871289,46.048828
1.402997,-0.276807,0.000719,-0.019207,0.099565,0.196325,0.909797,9.816227,-0.012771,0.009578,-0.003193,-12.480469,17.813086,46.048828
1.504953,-0.641079,0.001928,-0.036153,0.072526,0.248997,0.804452,9.998186,-0.017028,0.009578,-0.002128,-11.777344,18.518555,44.689453
1.606807,-0.790115,0.000968,-0.024649,0.101820,0.229843,0.986411,9.983821,-0.018092,0.010642,-0.003193,-11.777344,18.518555,44.689453
1.707971,-0.948636,0.002111,-0.038838,0.087028,0.225055,0.818817,9.825804,-0.017028,0.010642,0.000000,-12.128906,17.460352,45.369141
1.809259,-0.686998,-0.001177,-0.002639,0.079329,0.172383,0.876278,9.969456,-0.017028,0.011706,0.000000,-12.128906,17.460352,45.369141
1.911139,-0.768731,-0.001342,-0.003037,0.093720,0.191536,0.861913,9.907206,-0.017028,0.011706,-0.002128,-10.898438,16.578516,44.859375
2.012780,-0.905732,0.001218,-0.033653,0.095630,0.186748,0.938527,10.046070,-0.017028,0.010642,-0.001064,-11.953125,16.931250,44.859375
2.113838,-0.533556,0.000209,-0.024310,0.075534,0.244209,0.756568,9.998186,-0.012771,0.011706,-0.003193,-14.238281,16.402148,45.369141
2.215383,-0.761817,0.000123,-0.023209,0.091837,0.205901,0.914585,9.840169,-0.017028,0.013835,0.000000,-14.238281,16.402148,45.369141
2.317027,-0.701257,-0.000245,-0.018193,0.078970,0.181959,0.809240,9.969456,-0.015963,0.010642,-0.002128,-12.304688,16.931250,44.859375
2.418375,-0.795768,-0.000785,-0.015643,0.095652,0.167594,0.952892,9.955091,-0.015963,0.008514,0.000000,-11.250000,18.342187,45.878906
2.518693,-0.590140,-0.001319,-0.015335,0.090134,0.229843,0.842759,9.935937,-0.009578,0.017028,-0.007450,-12.832031,17.813086,45.369141
2.620341,-0.940645,-0.000233,-0.026884,0.080608,0.263362,0.842759,9.907206,-0.015963,0.014899,-0.001064,-12.832031,17.813086,45.369141
2.722022,-1.045293,0.000566,-0.036596,0.098748,0.248997,0.919373,9.940725,-0.013835,0.013835,-0.002128,-12.656250,16.931250,45.199219
2.823763,-0.937875,-0.001618,-0.014985,0.109675,0.138864,0.938527,9.950302,-0.018092,0.010642,-0.001064,-12.656250,16.931250,45.199219
2.925677,-0.877263,-0.000562,-0.027400,0.078242,0.220267,0.818817,9.883264,-0.013835,0.010642,-0.002128,-10.722656,17.813086,44.349609
3.027319,-0.680194,-0.002430,-0.007929,0.084641,0.181959,0.976834,10.041282,-0.015963,0.011706,-0.001064,-12.656250,17.283984,44.859375
3.128135,-0.763169,-0.002342,-0.012748,0.109467,0.162806,0.972046,10.055647,-0.018092,0.012771,-0.004257,-13.359375,15.873047,45.539062
3.229847,-0.563839,-0.002781,-0.007987,0.093614,0.134075,0.905008,9.979033,-0.012771,0.010642,-0.004257,-13.359375,15.873047,45.539062
