Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.762702,0.368696,0.095319,0.149262,-0.041022,1.939303,2.624045,9.418789,-0.013835,0.010642,-0.002128,-23.203125,-26.102344,38.402344
0.862769,0.513270,0.238100,0.281999,-0.105221,1.991976,2.624045,9.414001,-0.015963,0.013835,0.000000,-24.609375,-24.338672,37.382812
0.962945,0.740424,0.436249,0.322492,-0.170873,1.915361,2.662352,9.423578,-0.014899,0.012771,-0.001064,-23.203125,-24.338672,36.703125
1.063178,0.570666,0.634966,0.301021,-0.193767,2.025495,2.528277,9.337386,-0.017028,0.009578,-0.002128,-21.972656,-24.515039,37.892578
1.164659,0.470985,0.824228,0.283431,-0.199532,1.987187,2.576161,9.567230,-0.017028,0.008514,-0.003193,-21.972656,-24.515039,37.892578
1.266676,0.494504,1.005878,0.275124,-0.198127,2.025495,2.513912,9.485827,-0.019156,0.014899,-0.001064,-23.730469,-24.515039,38.912109
1.368136,0.186969,1.181968,0.271087,-0.195987,1.996764,2.552219,9.476250,-0.017028,0.011706,0.000000,-23.027344,-24.515039,35.513672
1.469157,0.211287,1.351666,0.268092,-0.185858,1.977611,2.643199,9.495404,-0.015963,0.010642,0.002128,-22.500000,-24.691406,37.382812
1.570844,0.312833,1.514628,0.268120,-0.165149,1.963245,2.528277,9.548076,-0.020220,0.013835,-0.002128,-22.851562,-25.749609,37.042969
1.672237,0.160125,1.673190,0.273096,-0.141746,1.924938,2.628833,9.313444,-0.018092,0.010642,-0.004257,-22.851562,-25.749609,37.042969
1.773972,0.266041,1.827268,0.283604,-0.112870,1.991976,2.489970,9.461885,-0.015963,0.012771,-0.002128,-22.324219,-25.220508,36.873047
1.875475,0.208016,1.979359,0.299451,-0.085918,2.054225,2.633622,9.414001,-0.017028,0.013835,-0.002128,-23.203125,-26.455078,36.023438
1.977385,0.017164,2.130126,0.317645,-0.058897,1.929727,2.638410,9.509769,-0.014899,0.011706,-0.002128,-22.500000,-24.691406,37.382812
