Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.760575,0.102663,0.006946,0.175249,0.033007,-0.234632,1.963245,9.677363,-0.008514,0.017028,0.011706,-24.960938,-2.116406,38.062500
0.860788,0.242351,0.020149,0.373452,0.081551,-0.014365,2.370260,9.361328,-0.038312,0.272441,0.042569,-24.960938,-2.116406,38.062500
0.960883,-0.290657,0.121859,0.424647,0.098519,-0.009577,2.398990,9.768343,-0.059597,-0.035119,0.053211,-26.367188,1.058203,38.742188
1.061155,0.035408,0.256635,0.441894,0.036035,-0.052672,2.413355,11.152191,-0.301175,0.162826,0.048954,-26.367188,0.705469,38.062500
1.163249,-0.027759,0.361071,0.425312,0.004453,-0.450110,1.833958,10.443508,-0.562975,0.689617,-0.072367,-23.906250,3.527344,37.722656
1.264513,-0.048738,0.464155,0.436487,-0.039761,-0.943315,1.666364,8.667010,-0.482094,0.470387,0.172404,-23.906250,3.527344,37.722656
1.366238,-0.071317,0.484408,0.454367,-0.020378,-1.891419,1.154005,10.046070,0.190496,-0.370350,0.084074,-13.007812,16.931250,40.101562
1.468260,-0.396038,0.477969,0.344293,0.074428,-0.684742,0.780510,11.923124,-0.356515,0.434203,0.032991,-14.765625,12.345703,39.082031
1.569719,-0.358903,0.454179,0.399659,0.117537,0.306458,2.509123,11.089942,0.169212,-0.171340,0.122386,-11.953125,21.164062,37.722656
1.671253,-0.254967,0.372247,0.384655,0.216322,-1.345541,1.307234,10.419566,0.155377,-0.635342,0.237322,-11.953125,21.164062,37.722656
1.772722,-0.329215,0.381749,0.365616,0.146455,-0.919373,1.374272,8.825027,0.175597,0.046826,0.110679,-14.589844,13.227539,35.173828
1.874076,-0.059165,0.359688,0.415593,0.135562,-2.202666,2.140416,9.169792,0.040441,0.594901,-0.038312,-14.589844,13.227539,35.173828
1.975694,0.040650,0.357544,0.333419,0.100058,-0.847547,-0.272939,8.729259,-0.101101,-0.190496,-0.011706,-12.656250,12.698437,34.324219
2.077187,-0.099767,0.335725,0.336800,0.159375,-0.933739,2.901772,12.186486,0.228808,-0.351194,0.059597,-13.007812,11.992969,33.304688
2.178145,-0.014686,0.305898,0.270890,0.146075,0.239420,0.837971,10.060435,-0.124514,-0.246900,-0.313946,-13.007812,12.345703,36.703125
2.280716,-0.433014,0.247129,0.352996,0.131963,-1.632846,0.837971,8.518570,0.106422,0.247964,-0.050019,-13.359375,11.287500,34.324219
2.382583,-0.250005,0.219345,0.297538,0.148791,-0.354342,0.660800,9.131485,-0.031927,0.211781,-0.056404,-12.128906,11.816602,34.833984
2.484427,-0.421561,0.199049,0.339804,0.209393,-1.292869,1.335965,9.045294,0.222423,0.424625,-0.223487,-10.546875,14.462109,33.984375
2.586304,-0.029833,0.131321,0.334791,0.224570,-1.292869,0.277727,10.165780,0.145799,0.172404,0.014899,-10.371094,17.813086,33.814453
2.689683,-0.275435,0.038806,0.365747,0.277790,-2.475605,0.948104,9.074024,-0.030863,0.044697,-0.044697,-10.898438,17.283984,32.625000
2.791766,-0.025120,-0.006190,0.272922,0.239129,-1.996764,0.158017,6.756437,-0.084074,-0.567232,-0.301175,-9.492188,15.167578,33.644531
2.894209,-0.092999,-0.093859,0.283113,0.253950,-1.900996,1.513135,9.447520,0.044697,0.235194,-0.113872,-10.195312,14.814844,31.945312
2.995875,0.012043,-0.139748,0.207763,0.277393,-0.967257,1.594538,11.329362,0.014899,0.119193,0.221359,-10.019531,13.227539,33.134766
3.098090,-0.250424,-0.157991,0.238437,0.280916,-1.934515,1.584961,12.741941,0.187303,-0.429947,-0.095780,-11.074219,11.111133,33.134766
3.201340,-0.414761,-0.233340,0.227275,0.267139,-1.244985,1.489193,10.328586,-0.211781,0.474644,-0.023413,-10.722656,12.522070,32.794922
3.301184,0.103112,-0.318182,0.278902,0.275362,-1.623269,0.363919,10.596737,-0.184111,0.226680,-0.534241,-9.667969,18.518555,35.513672
3.403088,-0.499611,-0.471211,0.176910,0.284386,9.734824,2.461239,12.258312,-0.457616,-0.328845,-0.474644,-9.667969,18.518555,35.513672
3.504937,-0.566203,-0.627600,0.073127,0.241566,2.446874,-0.009577,8.336610,-0.012771,-0.218166,-0.197946,-7.207031,19.576758,35.173828
3.606786,0.069038,-0.758608,0.040318,0.203850,2.025495,-0.933739,11.367669,-0.041505,0.073431,0.213909,-7.207031,19.576758,35.173828
3.708834,-0.100729,-0.869077,0.094746,0.237477,0.186748,-1.197101,9.959879,0.201138,-0.452295,-0.464002,-6.152344,16.754883,35.513672
3.810243,-0.247558,-0.987642,0.141922,0.244216,-1.110910,0.019154,9.979033,-0.531048,0.123450,0.249028,-7.910156,19.929492,33.474609
3.911794,-0.171442,-1.100857,0.070388,0.177193,-0.095768,-0.134075,8.729259,-0.105358,-0.144734,0.145799,-2.988281,22.398633,34.494141
4.013095,-0.059742,-1.215339,0.023868,0.134896,-0.507571,-0.296881,10.362105,0.091523,-0.119193,0.021284,-3.515625,18.694922,35.343750
4.114998,-0.014992,-1.319434,0.032069,0.105729,-0.067038,-0.335188,10.376470,0.102166,0.053211,-0.023413,-2.988281,17.460352,35.513672
4.217197,-0.329620,-1.453406,0.037179,0.071689,-0.138864,-0.296881,9.840169,0.017028,-0.026606,0.034055,-2.988281,17.460352,35.513672
4.319377,0.014199,-1.583359,0.050079,0.062434,-0.277727,-0.488417,10.103531,-0.057468,0.060661,0.029798,-3.867188,16.225781,37.722656
4.421274,-0.081079,-1.679652,0.027288,0.011439,0.033519,-0.311246,9.840169,-0.051083,0.083009,-0.003193,-2.636719,15.696680,37.212891
4.522397,0.002146,-1.695204,0.050315,0.031919,-0.234632,-0.521936,9.782708,-0.009578,0.000000,0.002128,-2.636719,15.696680,37.212891
4.623874,0.035003,-1.709681,0.052050,0.022625,-0.229843,-0.536301,9.840169,-0.038312,0.030863,-0.045762,-2.988281,18.165820,34.833984
4.726105,0.069173,-1.743008,0.045648,0.046676,-0.253785,-0.469264,10.031705,-0.101101,-0.057468,0.009578,-4.042969,15.343945,36.533203
4.828119,-0.518489,-1.727114,0.051407,0.015277,0.028730,-0.512359,9.959879,-0.025541,0.042569,-0.001064,-2.460938,16.225781,36.023438
4.929497,-0.308622,-1.710951,0.052205,0.030241,-0.090980,-0.497994,9.979033,-0.026606,0.057468,0.009578,-3.164062,17.989453,35.343750
5.032225,-0.275956,-1.700444,0.032921,0.012218,-0.181959,-0.392649,9.974244,-0.019156,0.020220,-0.028734,-3.164062,17.989453,35.343750
5.133250,0.155343,-1.699005,0.059919,0.010657,-0.191536,-0.617704,9.979033,-0.003193,0.026606,-0.014899,-2.109375,18.342187,35.343750
5.235521,-0.154988,-1.658783,0.055297,0.003665,-0.062249,-0.526724,9.768343,0.012771,0.009578,0.001064,-2.109375,18.342187,35.343750
5.337021,-0.441547,-1.687484,0.047914,0.027374,-0.067038,-0.454898,9.888053,-0.015963,0.034055,0.003193,-2.812500,17.989453,36.023438
5.438514,-0.108712,-1.687259,0.048982,0.030034,-0.076614,-0.507571,10.007763,-0.037248,0.007450,-0.004257,-2.812500,16.931250,37.382812
5.539999,-0.509668,-1.658844,0.045177,0.020206,-0.148441,-0.464475,9.792285,-0.053211,0.023413,0.000000,-2.109375,16.578516,34.664062
5.642175,0.231269,-1.722562,0.039353,0.035130,-0.138864,-0.407014,9.768343,-0.012771,0.043633,0.004257,-3.867188,17.283984,36.703125
5.743469,-0.409445,-1.676074,0.051198,0.012982,-0.086191,-0.474052,9.916783,-0.008514,0.023413,-0.002128,-2.109375,16.225781,36.363281
