Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.832560,0.433476,-0.002601,0.082541,0.056955,-0.555455,0.804452,9.864111,-0.013835,0.011706,0.001064,-12.304688,23.985937,45.199219
0.932525,0.075525,-0.002184,0.080012,0.041729,-0.474052,0.703895,9.945514,-0.015963,0.009578,-0.003193,-10.898438,24.338672,44.859375
1.033000,0.456849,-0.002181,0.081558,0.046123,-0.488417,0.761356,9.921572,-0.012771,0.014899,-0.002128,-10.898438,23.280469,45.199219
1.133932,0.245493,-0.001342,0.069140,0.066484,-0.588974,0.694318,9.926360,-0.014899,0.012771,-0.003193,-10.898438,23.280469,45.199219
1.236040,0.285392,-0.002045,0.083235,0.058607,-0.555455,0.790087,9.902418,-0.014899,0.013835,-0.002128,-8.964844,23.809570,45.029297
1.337473,-0.031704,-0.001242,0.069627,0.062165,-0.536301,0.713472,9.950302,-0.015963,0.010642,-0.001064,-11.425781,24.162305,46.048828
1.439185,0.099544,-0.001261,0.072795,0.055964,-0.565032,0.737414,10.127473,-0.013835,0.010642,-0.004257,-11.425781,24.162305,46.048828
1.541108,-0.117351,-0.001399,0.079903,0.061046,-0.545878,0.723049,9.988609,-0.015963,0.011706,-0.002128,-9.667969,23.456836,46.388672
1.642839,-0.255773,-0.001345,0.076066,0.048609,-0.474052,0.756568,9.959879,-0.014899,0.010642,-0.003193,-9.667969,23.456836,46.388672
1.745067,-0.032368,-0.000843,0.067933,0.054939,-0.541090,0.675165,9.859322,-0.014899,0.009578,0.000000,-8.964844,23.104102,46.728516
1.846129,-0.185991,-0.000999,0.077002,0.046597,-0.541090,0.723049,9.988609,-0.017028,0.012771,-0.003193,-11.074219,24.162305,45.708984
1.946931,-0.256794,-0.001760,0.086855,0.064816,-0.603339,0.732626,9.883264,-0.015963,0.012771,-0.001064,-10.722656,23.809570,44.009766
2.048881,-0.230824,-0.002071,0.091605,0.063532,-0.565032,0.794875,9.974244,-0.017028,0.007450,0.001064,-9.492188,24.691406,46.218750
2.150716,-0.329892,-0.000153,0.062442,0.056049,-0.593762,0.775721,9.892841,-0.014899,0.009578,-0.001064,-9.492188,23.633203,46.558594
2.251744,-0.256014,-0.001508,0.085753,0.049087,-0.598550,0.737414,9.935937,-0.013835,0.009578,0.001064,-10.898438,22.927734,45.539062
2.353778,-0.435401,-0.000709,0.070514,0.057501,-0.560243,0.703895,9.921572,-0.015963,0.009578,-0.004257,-10.898438,22.927734,45.539062
2.455279,0.100103,-0.000539,0.060616,0.045542,-0.435745,0.770933,9.883264,-0.018092,0.007450,-0.002128,-10.898438,22.927734,45.539062
2.556489,0.174519,-0.000170,0.058219,0.067331,-0.593762,0.718260,9.844957,-0.020220,0.012771,0.000000,-9.843750,23.633203,46.558594
2.658218,-0.171427,-0.001500,0.081495,0.054586,-0.550666,0.799663,9.959879,-0.017028,0.008514,-0.002128,-9.667969,24.515039,45.708984
2.760293,-0.198933,-0.001593,0.082023,0.059234,-0.536301,0.756568,9.859322,-0.013835,0.009578,-0.001064,-11.953125,22.575000,46.558594
2.861494,-0.109087,-0.001630,0.082586,0.056250,-0.555455,0.761356,9.782708,-0.015963,0.013835,-0.003193,-11.074219,23.456836,46.048828
2.962969,-0.244198,-0.000594,0.062973,0.063343,-0.608127,0.656011,9.844957,-0.015963,0.009578,-0.001064,-11.250000,22.575000,46.218750
3.064145,-0.118068,-0.000498,0.059373,0.062763,-0.579397,0.665588,9.926360,-0.015963,0.009578,0.000000,-10.722656,23.809570,45.029297
3.166279,-0.105200,-0.002026,0.089457,0.061246,-0.584185,0.766145,9.993398,-0.014899,0.012771,-0.003193,-10.019531,22.751367,45.029297
3.267473,-0.020032,-0.002093,0.091307,0.054141,-0.598550,0.756568,9.935937,-0.013835,0.009578,-0.002128,-10.019531,22.751367,45.029297
3.368795,-0.352261,-0.001737,0.087721,0.066138,-0.588974,0.746991,9.797073,-0.008514,0.021284,-0.007450,-10.019531,24.867773,46.048828
3.470216,0.307810,-0.001352,0.078931,0.078730,-0.665588,0.703895,9.907206,-0.014899,0.030863,-0.005321,-10.898438,23.280469,46.218750
3.571906,0.030676,-0.001563,0.080224,0.074551,-0.684742,0.761356,9.926360,-0.017028,0.007450,-0.002128,-9.843750,22.575000,45.878906
3.673168,0.388201,-0.000972,0.071292,0.069624,-0.612916,0.723049,9.998186,-0.018092,0.003193,0.000000,-9.140625,23.280469,46.218750
3.774945,0.104596,-0.000282,0.058712,0.065372,-0.593762,0.684742,9.854534,-0.014899,0.013835,0.002128,-9.316406,23.456836,46.728516
3.876554,-0.088303,-0.002185,0.092388,0.048386,-0.550666,0.785298,9.921572,-0.012771,0.013835,-0.003193,-11.425781,24.515039,43.669922
3.977904,0.290154,-0.000747,0.069966,0.074971,-0.689530,0.694318,9.911995,-0.019156,0.015963,-0.002128,-11.425781,24.515039,43.669922
4.079653,0.405109,-0.002423,0.093873,0.058600,-0.588974,0.761356,9.873688,-0.018092,0.010642,-0.001064,-9.667969,22.398633,46.048828
4.181267,0.225529,-0.001528,0.075102,0.049017,-0.536301,0.761356,9.907206,-0.019156,0.012771,-0.001064,-9.140625,22.927734,44.859375
4.282487,0.112543,-0.001722,0.075900,0.070267,-0.565032,0.799663,9.806650,-0.017028,0.009578,-0.002128,-10.195312,25.044141,44.859375
4.383789,0.409964,-0.000830,0.066511,0.081752,-0.718260,0.646434,9.141062,-0.013835,0.003193,-0.002128,-9.667969,22.751367,45.369141
4.485129,0.043405,0.005113,0.071804,0.048408,-0.651223,0.660800,9.988609,0.039376,0.169212,-0.024477,-10.722656,20.282227,45.369141
4.586577,0.083440,0.004712,0.076935,0.054276,-0.526724,0.751779,9.792285,0.004257,0.104294,0.008514,-9.667969,22.398633,45.708984
4.688031,0.020379,0.004752,0.076539,0.047603,-0.459687,0.809240,9.974244,-0.012771,-0.003193,-0.002128,-8.964844,23.456836,46.048828
4.789812,-0.100390,0.004622,0.073726,0.050634,-0.397437,0.770933,9.797073,-0.019156,0.042569,-0.003193,-8.964844,23.456836,46.048828
4.891726,0.152577,0.005806,0.057102,0.057037,-0.459687,0.656011,9.868899,-0.012771,0.029798,-0.004257,-10.195312,23.280469,45.878906
4.993436,0.379208,0.004431,0.088132,0.046848,-0.378284,0.737414,9.730036,-0.003193,0.053211,-0.004257,-10.371094,24.515039,47.068359
5.094543,0.041693,0.005720,0.087309,0.059348,-0.914585,0.847547,9.830592,-0.063853,-0.071303,0.005321,-9.316406,22.045898,47.068359
5.196236,0.125519,0.008408,0.057922,0.033812,-0.416591,0.703895,9.902418,-0.019156,-0.025541,0.000000,-11.074219,23.104102,46.048828
5.298681,0.289304,0.010470,0.063136,0.049996,-0.493206,0.632069,9.787496,0.025541,0.000000,-0.054275,-10.195312,23.985937,45.199219
5.400313,-0.129432,0.011945,0.070207,0.054927,-0.497994,0.718260,9.988609,-0.027670,-0.028734,-0.027670,-10.195312,23.985937,45.199219
5.502160,0.445083,0.013102,0.061277,0.043611,-0.454898,0.646434,9.787496,-0.021284,-0.002128,-0.002128,-10.195312,23.985937,45.199219
5.603245,0.319123,0.012898,0.076164,0.039734,-0.349553,0.675165,9.902418,-0.019156,0.000000,-0.003193,-10.546875,22.222266,45.878906
5.704980,0.161302,0.013159,0.082221,0.031184,-0.344765,0.679953,9.969456,-0.015963,0.001064,-0.001064,-11.250000,22.927734,45.539062
5.806335,0.236679,0.014666,0.076207,0.045421,-0.521936,0.861913,9.864111,0.076624,0.250093,-0.032991,-9.667969,20.987695,45.369141
5.907345,0.382027,0.009454,0.080598,0.122059,-1.168370,0.799663,10.170569,-0.051083,0.465066,-0.013835,-11.074219,25.925977,46.048828
6.008725,0.337302,0.015808,0.053430,0.158783,-1.517924,0.565032,10.189722,-0.259671,0.987600,-0.052147,-9.140625,29.276953,44.519531
6.110076,0.184617,0.021598,0.033027,0.269492,-2.552219,0.277727,9.787496,-0.329910,1.232372,-0.140478,-8.085938,40.211719,42.820312
6.211283,0.491347,0.019611,0.041483,0.446450,-4.295198,0.349553,9.375694,-0.184111,1.319638,-0.167083,-6.328125,52.910156,38.742188
6.312640,0.312561,0.029084,0.028354,0.538904,-5.181052,0.038307,8.695740,-0.037248,0.870535,-0.100037,-6.328125,52.910156,38.742188
6.414128,0.332530,0.053379,0.007741,0.637045,-5.736507,-0.215478,7.886500,-0.059597,0.798168,-0.097909,-5.273438,63.492188,34.324219
6.515567,0.136874,0.060125,0.012202,0.730358,-6.406884,-0.306458,7.321469,-0.059597,0.694938,-0.122386,-5.273438,63.492188,34.324219
6.617285,0.147468,0.058999,0.018948,0.817964,-7.177817,-0.339977,6.823475,-0.045762,0.446974,-0.067046,-4.394531,71.428711,25.318359
6.719492,0.527737,0.073393,0.009676,0.837418,-7.101202,-0.459687,6.421249,-0.054275,0.081945,-0.015963,-4.394531,71.428711,25.318359
6.821291,0.224788,0.063019,0.018057,0.805162,-7.067683,-0.387861,6.809110,-0.021284,0.012771,0.003193,-4.394531,74.603320,21.919922
