Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.720649,0.105582,-0.044208,0.061147,0.148637,1.608904,0.445322,9.907206,-0.015963,0.013835,0.001064,-7.734375,12.345703,48.597656
0.820723,-0.014706,-0.173641,0.048851,0.142319,1.661576,0.368707,9.873688,-0.017028,0.015963,-0.002128,-7.734375,12.345703,48.597656
0.920863,-0.371114,-0.316588,0.022467,0.124106,1.632846,0.407014,9.773131,-0.020220,0.009578,-0.002128,-7.031250,11.287500,49.277344
1.022495,-0.468175,-0.471034,0.001172,0.109594,1.680730,0.402226,9.993398,-0.015963,0.013835,0.000000,-7.031250,11.287500,49.277344
1.124623,-0.251088,-0.648257,-0.006035,0.091995,1.742979,0.402226,9.878476,-0.019156,0.010642,0.001064,-7.910156,10.758398,50.466797
1.225727,-0.065836,-0.820833,-0.013218,0.081616,1.584961,0.378284,9.849746,-0.019156,0.017028,-0.002128,-7.031250,11.287500,49.617188
1.327534,-0.092165,-0.989595,-0.019293,0.061915,1.604115,0.378284,9.825804,-0.017028,0.012771,0.001064,-7.031250,11.287500,49.617188
1.428832,-0.553190,-1.158530,-0.022670,0.038844,1.647211,0.359130,9.844957,-0.017028,0.011706,-0.002128,-6.855469,12.522070,51.146484
1.530795,-0.451192,-1.319307,0.003984,0.038420,1.680730,0.397437,9.840169,-0.018092,0.012771,-0.003193,-9.140625,10.229297,47.917969
1.632254,-0.660203,-1.479928,-0.005395,0.003747,1.637634,0.493206,9.816227,-0.015963,0.011706,0.000000,-7.558594,11.463867,49.447266
1.734147,-0.295796,-1.637839,0.005117,-0.029828,1.642422,0.426168,9.787496,-0.017028,0.009578,-0.002128,-6.328125,10.934766,49.277344
1.835919,-0.238580,-1.793559,0.030655,-0.035081,1.695095,0.349553,9.849746,-0.011706,0.008514,0.001064,-10.019531,11.111133,50.466797
1.938133,-0.362268,-1.956675,0.048098,-0.036138,1.647211,0.416591,9.888053,-0.017028,0.012771,-0.001064,-10.019531,11.111133,50.466797
2.039803,-0.555180,-2.102921,0.061065,-0.083182,1.714248,0.440533,9.835380,-0.014899,0.008514,-0.002128,-7.382812,11.640234,49.957031
2.141803,-0.532227,-2.261850,0.081470,-0.092088,1.666364,0.354342,10.055647,-0.017028,0.009578,0.000000,-7.382812,11.640234,49.957031
2.243750,-0.692170,-2.414456,0.101893,-0.100282,1.647211,0.359130,9.854534,-0.018092,0.012771,-0.001064,-8.437500,11.992969,48.597656
2.345288,-0.595274,-2.491870,0.113355,-0.132703,1.675941,0.373495,9.888053,-0.019156,0.014899,0.002128,-7.734375,12.698437,49.617188
2.446770,-0.689995,-2.530684,0.109775,-0.117481,1.666364,0.440533,9.888053,-0.018092,0.012771,0.000000,-7.734375,12.698437,49.617188
2.548555,-0.322242,-2.553779,0.120505,-0.107358,1.685518,0.378284,9.816227,-0.015963,0.009578,-0.001064,-6.328125,10.934766,49.617188
2.650352,-0.334742,-2.593409,0.125153,-0.111792,1.642422,0.392649,9.945514,-0.019156,0.010642,-0.001064,-6.855469,10.758398,50.806641
2.751784,-0.451232,-2.607789,0.125257,-0.113546,1.742979,0.402226,10.089166,-0.018092,0.011706,-0.001064,-8.261719,10.758398,49.447266
2.853328,-0.639428,-2.632824,0.133049,-0.103445,1.719037,0.392649,9.902418,-0.014899,0.013835,-0.002128,-8.261719,10.758398,49.447266
2.954694,-0.308429,-2.602785,0.117706,-0.131564,1.594538,0.541090,9.907206,-0.009578,0.010642,-0.003193,-7.558594,11.816602,49.447266
3.055829,-0.507921,-2.601292,0.123451,-0.132923,1.695095,0.474052,9.730036,-0.012771,0.009578,-0.003193,-7.031250,10.934766,49.617188
3.157508,-0.858280,-2.605846,0.123981,-0.126721,1.647211,0.483629,9.792285,-0.013835,0.012771,-0.001064,-8.964844,12.169336,51.146484
3.259096,-0.412303,-2.612216,0.124599,-0.126969,1.680730,0.426168,9.787496,-0.017028,0.013835,-0.001064,-7.734375,11.287500,50.296875
3.360529,-0.470890,-2.612744,0.129742,-0.124032,1.661576,0.459687,9.801862,-0.019156,0.011706,-0.001064,-7.734375,11.287500,50.296875
3.462708,-0.577035,-2.607075,0.126300,-0.132235,1.690306,0.354342,9.825804,-0.015963,0.012771,0.001064,-6.152344,10.758398,49.787109
3.564071,-0.508152,-2.616219,0.112079,-0.107549,1.666364,0.368707,9.892841,-0.021284,0.012771,-0.003193,-8.964844,11.463867,50.126953
3.665684,-0.288388,-2.612972,0.118502,-0.142357,1.608904,0.426168,9.787496,-0.019156,0.009578,-0.003193,-6.503906,12.169336,50.126953
3.767237,-0.456225,-2.574621,0.108307,-0.134376,1.661576,0.426168,9.844957,-0.020220,0.011706,0.000000,-7.207031,11.463867,49.787109
3.868885,-0.848768,-2.581609,0.124633,-0.113220,1.680730,0.359130,9.801862,-0.017028,0.012771,-0.002128,-7.207031,11.463867,49.787109
3.970387,-0.742751,-2.618552,0.123621,-0.121045,1.656788,0.359130,9.816227,-0.015963,0.011706,-0.001064,-7.558594,10.052930,49.107422
4.072330,-0.243339,-2.594903,0.109608,-0.114349,1.599327,0.474052,9.926360,-0.015963,0.013835,-0.001064,-8.261719,12.522070,49.107422
4.173634,-0.843637,-2.617793,0.127305,-0.120186,1.680730,0.421379,9.720459,-0.018092,0.011706,-0.002128,-7.382812,9.876563,49.957031
4.275587,-0.370025,-2.618692,0.124557,-0.109364,1.680730,0.440533,9.892841,-0.018092,0.011706,-0.002128,-7.207031,11.463867,50.466797
4.377021,-0.521794,-2.604201,0.115396,-0.128539,1.628057,0.354342,9.864111,-0.019156,0.010642,-0.002128,-7.734375,11.287500,49.277344
4.478200,-0.441565,-2.601071,0.127284,-0.129550,1.685518,0.354342,9.854534,-0.018092,0.011706,-0.003193,-7.207031,11.111133,49.447266
4.579593,-0.489403,-2.599762,0.117045,-0.128527,1.604115,0.387861,9.897630,-0.020220,0.012771,-0.004257,-8.613281,11.816602,48.767578
4.681866,-0.618135,-2.605415,0.116080,-0.121969,1.671153,0.502782,9.940725,-0.017028,0.009578,0.000000,-9.140625,10.934766,50.296875
4.783209,-0.485295,-2.637673,0.132112,-0.121201,1.742979,0.440533,9.907206,-0.015963,0.011706,0.000000,-9.140625,10.934766,50.296875
4.884893,-0.217476,-2.611851,0.121118,-0.112640,1.642422,0.426168,9.902418,-0.017028,0.011706,0.002128,-8.085938,11.640234,49.617188
4.986591,-0.308710,-2.637281,0.135171,-0.121623,1.747767,0.440533,9.825804,-0.018092,0.013835,0.000000,-7.558594,10.052930,49.107422
5.088112,-0.396812,-2.659197,0.112489,-0.114961,1.551443,0.387861,9.811438,-0.019156,0.011706,-0.001064,-8.964844,10.405664,49.447266
5.189935,-0.440510,-2.658987,0.131347,-0.126124,1.623269,0.397437,9.835380,-0.017028,0.012771,0.000000,-8.261719,10.758398,50.466797
5.291046,-0.791292,-2.626638,0.131771,-0.118920,1.704672,0.368707,9.883264,-0.015963,0.010642,-0.002128,-8.789062,12.698437,50.976562
5.392171,-0.642944,-2.606840,0.120160,-0.113408,1.628057,0.407014,9.744401,-0.018092,0.013835,0.001064,-7.207031,11.111133,50.126953
5.492874,-0.363001,-2.598577,0.124555,-0.125085,1.738190,0.392649,9.835380,-0.018092,0.011706,-0.003193,-7.207031,11.111133,50.126953
5.594322,-0.484338,-2.562112,0.122890,-0.119075,1.656788,0.402226,9.763554,-0.019156,0.011706,-0.003193,-7.910156,12.874805,49.787109
5.696302,-0.650087,-2.614446,0.130964,-0.111378,1.742979,0.426168,9.897630,-0.017028,0.013835,-0.001064,-9.140625,11.287500,47.917969
5.797581,-0.284032,-2.623553,0.133887,-0.106468,1.709460,0.407014,9.830592,-0.017028,0.013835,-0.004257,-9.140625,11.287500,47.917969
5.899423,-0.656552,-2.600608,0.131959,-0.114598,1.642422,0.440533,9.873688,-0.019156,0.010642,0.002128,-7.207031,11.463867,49.787109
