Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.800716,0.450543,nan,nan,-0.000000,-1.158794,-0.234632,10.065224,0.020220,0.003193,0.018092,0.000000,0.000000,0.000000
0.900840,0.339817,nan,nan,-0.000000,-1.192312,-0.239420,10.127473,0.007450,0.008514,0.011706,0.000000,0.000000,0.000000
1.001235,0.587330,nan,nan,-0.000000,-1.221043,-0.205901,10.026917,0.010642,0.006385,0.017028,0.000000,0.000000,0.000000
1.103251,0.557007,nan,nan,-0.000000,-1.101333,-0.253785,10.017340,0.012771,0.002128,0.011706,0.000000,0.000000,0.000000
1.205474,0.175484,nan,nan,-0.000000,-1.149217,-0.248997,9.950302,0.006385,0.005321,0.014899,0.000000,0.000000,0.000000
1.308762,0.151063,nan,nan,-0.000000,-1.158794,-0.234632,10.070012,0.012771,0.003193,0.015963,0.000000,0.000000,0.000000
1.411104,0.391138,nan,nan,-0.000000,-1.096544,-0.268151,10.055647,0.015963,0.006385,0.014899,0.000000,0.000000,0.000000
1.513126,-0.066564,nan,nan,-0.000000,-1.201889,-0.234632,10.017340,0.008514,0.005321,0.013835,0.000000,0.000000,0.000000
1.616144,0.264115,nan,nan,-0.000000,-1.154005,-0.234632,9.979033,0.011706,0.003193,0.013835,0.000000,0.000000,0.000000
1.718479,0.187621,nan,nan,-0.000000,-1.106121,-0.181959,9.959879,0.017028,0.005321,0.012771,0.000000,0.000000,0.000000
1.821444,0.361639,nan,nan,-0.000000,-1.086968,-0.277727,10.093954,0.017028,0.004257,0.014899,0.000000,0.000000,0.000000
1.923448,0.110488,nan,nan,-0.000000,-1.125275,-0.181959,10.108319,0.012771,0.005321,0.012771,0.000000,0.000000,0.000000
2.025892,0.256674,nan,nan,-0.000000,-1.168370,-0.196325,10.065224,0.014899,0.006385,0.012771,0.000000,0.000000,0.000000
2.128443,0.254035,nan,nan,-0.000000,-1.235408,-0.320823,10.146627,0.015963,0.004257,0.014899,0.000000,0.000000,0.000000
2.230669,0.215276,nan,nan,-0.000000,-1.187524,-0.248997,10.050859,0.010642,0.009578,0.013835,0.000000,0.000000,0.000000
2.333180,0.207823,nan,nan,-0.000000,-1.110910,-0.215478,10.122685,0.005321,0.005321,0.012771,0.000000,0.000000,0.000000
2.435511,0.066376,nan,nan,-0.000000,-1.115698,-0.172383,10.093954,0.017028,0.005321,0.012771,0.000000,0.000000,0.000000
2.536927,0.031049,nan,nan,-0.000000,-1.154005,-0.129287,10.108319,0.017028,0.003193,0.012771,0.000000,0.000000,0.000000
2.638313,0.074019,nan,nan,-0.000000,-1.139640,-0.186748,10.117896,0.009578,0.005321,0.013835,0.000000,0.000000,0.000000
