Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.767844,-0.003677,0.042939,0.171250,0.031065,1.508347,3.418920,9.255984,-0.015963,0.009578,-0.001064,-45.527344,-13.933008,35.513672
0.867937,0.454931,0.107939,0.355531,0.036170,1.675941,3.361459,9.279926,-0.020220,0.011706,-0.003193,-42.363281,-14.638477,36.533203
0.968002,-0.243458,0.238430,0.509114,-0.012064,1.584961,3.428497,9.265560,-0.018092,0.012771,-0.001064,-42.363281,-14.638477,36.533203
1.068377,-0.056892,0.451510,0.579890,-0.092504,1.666364,3.466804,9.255984,-0.019156,0.012771,-0.004257,-44.296875,-13.403906,36.363281
1.169708,-0.507070,0.686468,0.590448,-0.181264,1.575385,3.390190,9.203311,-0.014899,0.013835,0.003193,-43.769531,-12.522070,34.154297
1.271388,0.032511,0.917296,0.570492,-0.259659,1.632846,3.371036,9.279926,-0.013835,0.012771,-0.002128,-45.351562,-13.051172,35.343750
1.372234,-0.180080,1.137796,0.539096,-0.320508,1.599327,3.327940,9.299079,-0.021284,0.013835,0.001064,-45.351562,-13.051172,35.343750
1.473872,-0.090716,1.345943,0.499087,-0.362296,1.575385,3.332729,9.442731,-0.018092,0.011706,-0.001064,-43.417969,-13.227539,35.853516
1.575112,-0.155052,1.542477,0.456257,-0.384746,1.666364,3.323152,9.370905,-0.018092,0.012771,-0.003193,-44.121094,-14.285742,35.853516
1.676144,-0.028391,1.731582,0.417038,-0.394785,1.618480,3.375824,9.323021,-0.014899,0.010642,-0.002128,-43.066406,-12.522070,36.533203
1.777722,-0.116124,1.914659,0.383211,-0.390054,1.551443,3.361459,9.279926,-0.017028,0.008514,0.000000,-43.066406,-12.522070,36.533203
1.879652,-0.388097,2.093676,0.353006,-0.376526,1.685518,3.409343,9.399636,-0.018092,0.013835,-0.001064,-43.066406,-14.285742,34.494141
1.981152,-0.454790,2.270946,0.330586,-0.356300,1.608904,3.371036,9.198523,-0.015963,0.011706,-0.004257,-45.351562,-14.109375,36.023438
2.082083,-0.534702,2.445238,0.316284,-0.324528,1.618480,3.428497,9.165004,-0.017028,0.011706,-0.001064,-42.714844,-13.227539,34.494141
2.183860,-0.281151,2.620451,0.304235,-0.293291,1.618480,3.418920,9.404424,-0.014899,0.011706,0.000000,-43.593750,-11.992969,33.984375
2.285456,-0.204298,2.762474,0.293392,-0.259498,1.613692,3.380613,9.308656,-0.015963,0.008514,-0.001064,-43.593750,-11.992969,33.984375
2.386681,-0.441719,2.762167,0.297650,-0.255341,1.699883,3.380613,9.174581,-0.019156,0.010642,-0.003193,-45.351562,-12.345703,35.683594
2.488451,-0.522670,2.756537,0.280089,-0.245640,1.594538,3.332729,9.428366,-0.015963,0.012771,-0.003193,-45.878906,-12.522070,35.513672
2.590035,-0.399672,2.758599,0.285560,-0.242787,1.623269,3.351882,9.275137,-0.013835,0.011706,0.000000,-45.878906,-12.522070,35.513672
2.692411,-0.265772,2.758050,0.287576,-0.247858,1.628057,3.371036,9.370905,-0.018092,0.008514,-0.001064,-45.878906,-12.522070,35.513672
2.794888,-0.427324,2.699759,0.302102,-0.238846,1.613692,3.366248,9.308656,-0.013835,0.011706,-0.005321,-43.769531,-15.343945,35.853516
2.896934,-0.561363,2.768750,0.291902,-0.268815,1.613692,3.433285,9.255984,-0.018092,0.012771,-0.003193,-44.296875,-11.287500,36.363281
2.998762,-0.466103,2.767720,0.279344,-0.260674,1.623269,3.347094,9.251195,-0.018092,0.019156,0.000000,-44.296875,-11.287500,36.363281
3.099603,-0.347365,2.731686,0.288510,-0.238426,1.594538,3.337517,9.332598,-0.018092,0.011706,-0.001064,-44.121094,-13.227539,35.513672
3.201551,-0.254918,2.715219,0.316684,-0.244098,1.699883,3.414132,9.212888,-0.020220,0.019156,0.001064,-44.472656,-14.285742,36.193359
3.303538,-0.261199,2.734752,0.296711,-0.251018,1.661576,3.371036,9.337386,-0.010642,0.004257,-0.004257,-44.648438,-13.403906,35.343750
3.405976,-0.549314,2.738295,0.285247,-0.252256,1.647211,3.390190,9.284714,-0.014899,0.022349,-0.001064,-44.648438,-13.403906,35.343750
3.507320,-0.184770,2.740330,0.300528,-0.246661,1.656788,3.394978,9.217676,-0.015963,0.003193,-0.001064,-44.824219,-13.580273,35.173828
3.608772,-0.511102,2.754247,0.295279,-0.268382,1.618480,3.433285,9.251195,-0.017028,0.015963,0.000000,-46.230469,-13.227539,35.173828
3.710779,-0.213137,2.753598,0.286472,-0.252967,1.661576,3.327940,9.399636,-0.014899,0.008514,-0.001064,-43.769531,-12.874805,35.173828
3.812380,-0.269129,2.746151,0.302381,-0.256147,1.642422,3.394978,9.241618,-0.015963,0.012771,-0.003193,-44.121094,-13.227539,34.154297
3.914482,-0.012702,2.730546,0.296956,-0.244137,1.632846,3.414132,9.380482,-0.015963,0.012771,0.002128,-44.824219,-13.933008,35.513672
4.015807,-0.372752,2.738104,0.294995,-0.255738,1.637634,3.375824,9.346963,-0.011706,0.012771,-0.002128,-44.824219,-13.933008,35.513672
4.118433,-0.294836,2.723703,0.285509,-0.238419,1.584961,3.361459,9.270349,-0.021284,0.012771,-0.002128,-44.824219,-13.933008,35.513672
4.220454,-0.309685,2.763540,0.296120,-0.250693,1.680730,3.380613,9.246407,-0.017028,0.012771,0.002128,-44.824219,-12.169336,35.173828
4.322257,-0.383875,2.725578,0.307066,-0.236605,1.671153,3.351882,9.236830,-0.020220,0.017028,-0.002128,-44.296875,-13.756641,36.363281
4.423481,-0.103528,2.745254,0.302853,-0.255846,1.685518,3.462016,9.174581,-0.017028,0.012771,0.000000,-45.175781,-13.580273,35.173828
4.525340,-0.525202,2.759426,0.290388,-0.267167,1.656788,3.380613,9.232042,-0.015963,0.011706,0.000000,-43.593750,-12.345703,34.324219
4.627160,-0.506151,2.715910,0.293506,-0.234711,1.647211,3.347094,9.260772,-0.017028,0.009578,0.000000,-43.593750,-14.109375,35.003906
4.728820,-0.167900,2.721383,0.297996,-0.232461,1.719037,3.289633,9.327810,-0.011706,0.009578,0.002128,-43.593750,-14.109375,35.003906
4.831171,-0.303032,2.727378,0.274844,-0.214470,1.584961,2.748544,9.294291,-0.093652,0.706645,0.091523,-44.121094,-13.580273,35.513672
